EndChar,SurnameCount,Female,Male,Gender,pVal
イ,3,3,0,f,0.00951321329921484
い,28,26,2,f,0.00100000004749745
え,35,35,0,f,0.00100000004749745
カ,10,7,3,f,0.00124697247520089
か,90,89,1,f,0.00100000004749745
キ,10,7,3,f,0.00124697247520089
き,108,98,10,f,0.00100000004749745
く,2,2,0,f,0.044897086918354
コ,6,6,0,f,9.05012275325134E-05
こ,35,34,1,f,0.00100000004749745
サ,4,3,1,f,0.0320056080818176
さ,30,29,1,f,0.00100000004749745
し,16,0,16,m,0.0221511032432318
ず,2,2,0,f,0.044897086918354
せ,5,5,0,f,0.000427115563070402
と,6,5,1,f,0.0021101871971041
な,24,24,0,f,0.00100000004749745
ぬ,2,2,0,f,0.044897086918354
ね,13,13,0,f,1.73547376469685E-09
の,6,6,0,f,9.05012275325134E-05
ぶ,21,21,0,f,7.05164923577983E-15
ほ,13,13,0,f,1.73547376469685E-09
ミ,18,18,0,f,7.41247883385976E-13
み,382,381,1,f,0.00100000004749745
め,4,4,0,f,0.00201574829407036
や,9,8,1,f,2.96815142064588E-05
ゆ,3,3,0,f,0.00951321329921484
よ,8,8,0,f,4.06324170398875E-06
ら,22,21,1,f,1.237587235383E-13
リ,8,8,0,f,4.06324170398875E-06
り,266,265,1,f,0.00100000004749745
る,45,42,3,f,0.00100000004749745
れ,6,6,0,f,9.05012275325134E-05
ろ,19,18,1,f,1.12565842064205E-11
亜,13,10,3,f,2.74982103292132E-05
愛,102,98,4,f,0.00100000004749745
葵,43,26,17,f,0.00100000004749745
茜,27,27,0,f,0.00100000004749745
旭,22,1,21,m,0.0367030426859856
梓,23,18,5,f,8.15007084042918E-09
綾,35,34,1,f,0.00100000004749745
杏,6,6,0,f,9.05012275325134E-05
以,8,5,3,f,0.0134072359651327
依,21,21,0,f,7.05164923577983E-15
惟,6,4,2,f,0.0208904650062323
衣,97,96,1,f,0.00100000004749745
一,3508,1,3507,m,0.00100000004749745
羽,28,20,8,f,0.00100000004749745
映,7,6,1,f,0.000518451153766364
栄,74,27,47,f,0.0020000000949949
英,166,17,149,m,0.00100000004749745
衛,34,0,34,m,0.00300000002607703
円,15,9,6,f,0.00122140685562044
園,2,2,0,f,0.044897086918354
延,13,0,13,m,0.0452515780925751
縁,2,2,0,f,0.044897086918354
央,180,50,130,f,0.0320000015199184
音,68,48,20,f,0.00100000004749745
佳,258,206,52,f,0.00100000004749745
加,73,69,4,f,0.00100000004749745
夏,64,62,2,f,0.00100000004749745
果,11,11,0,f,3.86544840580427E-08
歌,9,8,1,f,2.96815142064588E-05
河,16,0,16,m,0.0221511032432318
花,97,96,1,f,0.00100000004749745
華,77,76,1,f,0.00100000004749745
芽,5,4,1,f,0.00837027933448553
賀,13,10,3,f,2.74982103292132E-05
雅,100,3,97,m,0.00100000004749745
介,1230,0,1230,m,0.00100000004749745
海,92,29,63,f,0.0160000007599592
絵,102,102,0,f,0.00100000004749745
馨,21,1,20,m,0.0447601974010468
格,14,0,14,m,0.0356632508337498
覚,32,0,32,m,0.00400000018998981
学,197,0,197,m,0.00100000004749745
岳,31,0,31,m,0.00499999988824129
寛,220,0,220,m,0.00100000004749745
幹,31,0,31,m,0.00499999988824129
巌,18,0,18,m,0.0137584581971169
喜,173,10,163,m,0.00100000004749745
基,155,0,155,m,0.00100000004749745
希,380,159,221,f,0.00100000004749745
揮,20,0,20,m,0.00854563154280186
毅,186,0,186,m,0.00100000004749745
気,34,0,34,m,0.00300000002607703
季,63,43,20,f,0.00100000004749745
稀,16,7,9,f,0.0357827581465244
紀,765,328,437,f,0.00100000004749745
規,120,1,119,m,0.00100000004749745
記,67,5,62,m,0.00700000021606684
貴,535,48,487,m,0.00100000004749745
輝,446,5,441,m,0.00100000004749745
宜,31,0,31,m,0.00499999988824129
義,249,0,249,m,0.00100000004749745
吉,67,0,67,m,0.00100000004749745
久,590,2,588,m,0.00100000004749745
弓,77,76,1,f,0.00100000004749745
亨,73,0,73,m,0.00100000004749745
享,22,0,22,m,0.00530784949660301
匡,21,0,21,m,0.00673490390181541
喬,13,0,13,m,0.0452515780925751
強,22,0,22,m,0.00530784949660301
恭,27,1,26,m,0.0270000007003546
教,28,0,28,m,0.00700000021606684
興,22,0,22,m,0.00530784949660301
暁,41,2,39,m,0.0109999999403954
均,61,0,61,m,0.00100000004749745
琴,18,15,3,f,3.27427933655144E-08
空,29,14,15,f,0.00100000004749745
勲,61,0,61,m,0.00100000004749745
薫,136,53,83,f,0.00100000004749745
訓,30,0,30,m,0.00499999988824129
啓,109,2,107,m,0.00100000004749745
圭,55,4,51,m,0.0120000001043081
恵,560,543,17,f,0.00100000004749745
慶,48,0,48,m,0.00100000004749745
慧,24,1,23,m,0.0430000014603138
敬,105,1,104,m,0.00100000004749745
景,12,8,4,f,0.00087650801287964
桂,12,6,6,f,0.0255319830030203
継,22,0,22,m,0.00530784949660301
潔,44,0,44,m,0.00100000004749745
結,14,14,0,f,3.67728375527676E-10
月,67,58,9,f,0.00100000004749745
健,219,0,219,m,0.00100000004749745
建,14,0,14,m,0.0356632508337498
憲,152,0,152,m,0.00100000004749745
見,26,12,14,f,0.00300000002607703
謙,20,0,20,m,0.00854563154280186
賢,72,1,71,m,0.00100000004749745
顕,33,0,33,m,0.00400000018998981
元,66,0,66,m,0.00100000004749745
己,216,6,210,m,0.00100000004749745
湖,8,8,0,f,4.06324170398875E-06
伍,25,0,25,m,0.00999999977648258
吾,417,0,417,m,0.00100000004749745
悟,250,0,250,m,0.00100000004749745
瑚,2,2,0,f,0.044897086918354
倖,2,2,0,f,0.044897086918354
光,320,11,309,m,0.00100000004749745
功,109,0,109,m,0.00100000004749745
厚,29,0,29,m,0.00600000005215406
好,47,2,45,m,0.00499999988824129
孝,426,0,426,m,0.00100000004749745
宏,826,1,825,m,0.00100000004749745
巧,49,0,49,m,0.00100000004749745
幸,1145,67,1078,m,0.00100000004749745
広,396,0,396,m,0.00100000004749745
康,168,0,168,m,0.00100000004749745
弘,1097,1,1096,m,0.00100000004749745
恒,22,0,22,m,0.00530784949660301
晃,253,3,250,m,0.00100000004749745
江,251,249,2,f,0.00100000004749745
浩,599,0,599,m,0.00100000004749745
紅,2,2,0,f,0.044897086918354
航,41,0,41,m,0.00100000004749745
行,848,0,848,m,0.00100000004749745
貢,31,0,31,m,0.00499999988824129
香,487,482,5,f,0.00100000004749745
高,70,0,70,m,0.00100000004749745
剛,306,0,306,m,0.00100000004749745
合,31,31,0,f,0.00100000004749745
豪,46,0,46,m,0.00100000004749745
克,72,0,72,m,0.00100000004749745
佐,23,19,4,f,5.66536262347483E-10
沙,54,54,0,f,0.00100000004749745
砂,8,7,1,f,0.000124967264127918
哉,588,0,588,m,0.00100000004749745
彩,54,52,2,f,0.00100000004749745
采,4,3,1,f,0.0320056080818176
菜,152,152,0,f,0.00100000004749745
咲,54,52,2,f,0.00100000004749745
作,188,0,188,m,0.00100000004749745
策,17,0,17,m,0.0174575205892324
桜,15,15,0,f,7.79177139476062E-11
三,332,4,328,m,0.00100000004749745
司,1797,0,1797,m,0.00100000004749745
史,1387,4,1383,m,0.00100000004749745
嗣,179,0,179,m,0.00100000004749745
士,368,0,368,m,0.00100000004749745
子,7375,7374,1,f,0.00100000004749745
